场次ID,客户ID,主播名称,直播间ID,直播主题,报告类型,指标类型,指标值,观看排名,观看时长秒,分析时间,来源文件,创建时间,更新时间
7637118577040050996-点赞榜-105581351687,105581351687,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,26,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:36,2026-05-09 03:43:36
7637118577040050996-点赞榜-245887544081200,245887544081200,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,18,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:09,2026-05-09 03:43:09
7637118577040050996-点赞榜-2695648201935411,2695648201935411,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,20,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:01,2026-05-09 03:43:01
7637118577040050996-点赞榜-370985672907088,370985672907088,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,17,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:42:59,2026-05-09 03:42:59
7637118577040050996-点赞榜-64749581762,64749581762,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,25,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:08,2026-05-09 03:43:08
7637118577040050996-点赞榜-80944733369,80944733369,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,23,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:24,2026-05-09 03:43:24
7637118577040050996-点赞榜-85561366997,85561366997,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,37,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:42:59,2026-05-09 03:42:59
7637118577040050996-点赞榜-86512809532,86512809532,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,127,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:04,2026-05-09 03:43:04
7637118577040050996-点赞榜-92527873673,92527873673,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,208,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:05,2026-05-09 03:43:05
7637118577040050996-点赞榜-96664788761,96664788761,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,点赞榜,18,0,0,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:21,2026-05-09 03:43:21
7637118577040050996-观看榜-2031495810913741,2031495810913741,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,3,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:14,2026-05-09 03:43:14
7637118577040050996-观看榜-2365750956537677,2365750956537677,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,7,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:41,2026-05-09 03:43:41
7637118577040050996-观看榜-2506503054958359,2506503054958359,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,1,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:25,2026-05-09 03:43:25
7637118577040050996-观看榜-3245411298194254,3245411298194254,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,5,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:41,2026-05-09 03:43:41
7637118577040050996-观看榜-50855101122,50855101122,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,2,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:41,2026-05-09 03:43:41
7637118577040050996-观看榜-62931384667,62931384667,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,68,9,4080,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:39,2026-05-09 03:43:39
7637118577040050996-观看榜-63008078134,63008078134,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,68,10,4080,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:26,2026-05-09 03:43:26
7637118577040050996-观看榜-64494542713,64494542713,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,68,8,4080,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:05,2026-05-09 03:43:05
7637118577040050996-观看榜-92706198543,92706198543,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,4,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:36,2026-05-09 03:43:36
7637118577040050996-观看榜-98402319551,98402319551,"财经葛先生",7637118577040050996,"",dbLiveAnalytics,观看榜,69,6,4140,2026-05-08 18:53:19,"douyin_creator_live_room_analytics_data",2026-05-09 03:43:39,2026-05-09 03:43:39
