账号名称,直播id,直播标题,开播时间,关播时间,直播时长,峰值人数,平均人数,收获音浪,粉丝音浪,非粉音浪,首次送礼用户音浪,送礼人数,送礼粉丝人数,送礼非粉人数,首次送礼人数,预计收入,曝光人数,观看人数,观看粉丝人数,观看非粉人数,涨粉人数,掉粉人数,加团人数,人均停留时长,粉丝人均停留时长,非粉人均停留时长,评论人数,评论粉丝人数,评论非粉人数,点赞次数,点赞粉丝次数,点赞非粉次数,分享次数,分享粉丝次数,分享非粉次数,曝光分布,观看分布,群内粉丝,群外粉丝,观看率,涨粉率,评论率,送礼率,粉丝观看率,粉丝评论率,粉丝点赞率,粉丝分享率,粉丝送礼率,群内粉丝率,创建时间
财经葛先生,7560627436254251827,"今天A股为什么没有大跌？！",2025-10-13 08:56:22,2025-10-13 08:56:22,0,,,,,,,,,,,,,197,,,,,,99,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-13 08:56:22
财经葛先生,7560643258989202186,"",2025-10-13 09:57:45,2025-10-13 09:57:45,0,,,,,,,,,,,,,200,,,,,,94,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-13 09:57:45
财经葛先生,7560980379551304486,"",2025-10-14 07:45:55,2025-10-14 07:45:55,0,,,,,,,,,,,,,1,,,,,,181,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-14 07:45:55
财经葛先生,7560982127495613234,"",2025-10-14 07:52:47,2025-10-14 07:52:47,0,,,,,,,,,,,,,2,,,,,,71,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-14 07:52:47
财经葛先生,7560982773930969865,"",2025-10-14 07:55:06,2025-10-14 07:55:06,0,,,,,,,,,,,,,2,,,,,,24,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-14 07:55:06
财经葛先生,7560984969993472794,"",2025-10-14 08:03:36,2025-10-14 08:03:36,0,,,,,,,,,,,,,33,,,,,,34,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-14 08:03:36
财经葛先生,7560987838796401459,"今天A股为什么没有大跌？！",2025-10-14 08:14:59,2025-10-14 08:14:59,0,,,,,,,,,,,,,198,,,,,,135,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-14 08:14:59
财经葛先生,7561290220033805094,"今天A股为什么没有大跌？！",2025-10-15 03:48:17,2025-10-15 03:48:17,0,,,,,,,,,,,,,200,,,,,,114,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-15 03:48:17
财经葛先生,7561382061320194866,"今天A股大盘涨的太好了",2025-10-15 09:44:35,2025-10-15 09:44:35,0,,,,,,,,,,,,,200,,,,,,148,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-15 09:44:35
财经葛先生,7561747436910857011,"",2025-10-16 09:22:36,2025-10-16 09:22:36,0,,,,,,,,,,,,,1,,,,,,84,,,,,,,,,,,,{},{},,,,,,,,,,,,,2025-10-16 09:22:36
