账号名称,直播id,直播标题,开播时间,关播时间,直播时长,峰值人数,平均人数,收获音浪,粉丝音浪,非粉音浪,首次送礼用户音浪,送礼人数,送礼粉丝人数,送礼非粉人数,首次送礼人数,预计收入,曝光人数,观看人数,观看粉丝人数,观看非粉人数,涨粉人数,掉粉人数,加团人数,人均停留时长,粉丝人均停留时长,非粉人均停留时长,评论人数,评论粉丝人数,评论非粉人数,点赞次数,点赞粉丝次数,点赞非粉次数,分享次数,分享粉丝次数,分享非粉次数,曝光分布,观看分布,群内粉丝,群外粉丝,观看率,涨粉率,评论率,送礼率,粉丝观看率,粉丝评论率,粉丝点赞率,粉丝分享率,粉丝送礼率,群内粉丝率,创建时间
"财经葛先生","7637753840718367497","外盘半导体大涨！周一A股何去何从？","""2026-05-09T05:06:06.000Z""","""2026-05-09T05:26:30.000Z""",20,946,720,83,82,1,11,75,74,1,7,"4.00",16440,3434,1695,1739,31,4,4,"3.6800","5.3300","1.1500",111,96,15,25867,22770,3097,3,1,2,,,733,961,"0.2089","0.0090","0.0323","0.0218","0.4936","0.8649","0.8803","0.3333","0.9867","0.4324","""2026-05-09T11:13:06.000Z"""
"财经葛先生","7637739884966431539","外盘半导体大涨！周一A股何去何从？","""2026-05-09T04:12:09.000Z""","""2026-05-09T05:05:20.000Z""",53,1221,933,3770,3758,12,44,353,347,6,19,"188.00",31462,7153,3609,3544,69,2,13,"6.1300","8.1800","1.7800",261,237,24,160454,154142,6312,33,32,1,,,1537,2072,"0.2274","0.0096","0.0365","0.0493","0.5045","0.9080","0.9607","0.9697","0.9830","0.4259","""2026-05-09T11:13:43.000Z"""
"财经葛先生","7637489416340343586","今晚非农公布 A股 黄金如何？","""2026-05-08T11:59:48.000Z""","""2026-05-08T13:05:50.000Z""",66,1455,972,523,521,2,10,182,181,1,7,"26.00",25392,7435,4822,2613,34,7,3,"7.6800","7.4700","0.8300",423,404,19,153981,151364,2617,12,12,0,,,1803,3019,"0.2928","0.0046","0.0569","0.0245","0.6486","0.9551","0.9830","1.0000","0.9945","0.3739","""2026-05-09T11:14:55.000Z"""
"财经葛先生","7637366039680322342","震荡行情！怎么应对？","""2026-05-08T04:01:06.000Z""","""2026-05-08T05:02:07.000Z""",61,1332,1089,545,543,2,26,350,348,2,11,"27.00",20219,5587,4391,1196,17,4,4,"10.9300","9.6700","1.4000",236,229,7,192728,191258,1470,10,9,1,,,1873,2518,"0.2763","0.0030","0.0422","0.0626","0.7859","0.9703","0.9924","0.9000","0.9943","0.4266","""2026-05-08T10:52:43.000Z"""
"财经葛先生","7637118577040050996","A股、黄金大涨！买吗？","""2026-05-07T12:00:49.000Z""","""2026-05-07T13:10:30.000Z""",69,1069,908,655,655,0,20,210,210,0,13,"32.00",23227,6444,4652,1792,23,8,6,"8.8700","8.0700","0.7300",355,348,7,122982,121554,1428,3,3,0,,,1715,2937,"0.2774","0.0036","0.0551","0.0326","0.7219","0.9803","0.9884","1.0000","1.0000","0.3687","""2026-05-08T10:53:19.000Z"""
"财经葛先生","7636994903658023730","A股、黄金大涨！买吗？","""2026-05-07T04:00:57.000Z""","""2026-05-07T04:56:27.000Z""",55,1254,1058,524,523,1,13,358,357,1,9,"26.00",20489,5722,4418,1304,16,7,5,"9.4000","8.4200","1.3200",227,218,9,142723,140846,1877,9,8,1,,,1811,2606,"0.2793","0.0028","0.0397","0.0626","0.7721","0.9604","0.9868","0.8889","0.9972","0.4099","""2026-05-07T07:53:33.000Z"""
"财经葛先生","7636747319593388815","A股、黄金大涨！5月主线来啦！","""2026-05-06T12:00:08.000Z""","""2026-05-06T13:00:39.000Z""",60,1062,854,339,339,0,14,174,174,0,11,"16.00",20497,5328,4171,1157,8,5,8,"8.6800","7.1000","1.0700",261,253,8,84210,83768,442,38,36,2,,,1671,2500,"0.2599","0.0015","0.0490","0.0327","0.7828","0.9693","0.9948","0.9474","1.0000","0.4006","""2026-05-07T07:54:54.000Z"""
"财经葛先生","7636623672781933322","A股、黄金大涨！5月主线来啦！","""2026-05-06T04:00:19.000Z""","""2026-05-06T05:05:09.000Z""",64,1420,1164,858,855,3,27,478,477,1,14,"42.00",27212,7347,4966,2381,28,5,6,"9.3000","9.2000","0.9300",360,350,10,173880,172161,1719,14,14,0,,,2021,2945,"0.2700","0.0038","0.0490","0.0651","0.6759","0.9722","0.9901","1.0000","0.9979","0.4070","""2026-05-07T07:55:49.000Z"""
"财经葛先生","7636375750781815586","5月咋提前布局？","""2026-05-05T11:58:18.000Z""","""2026-05-05T13:02:00.000Z""",63,977,782,545,542,3,3,277,275,2,2,"27.00",24811,6628,4377,2251,30,10,0,"6.6500","6.9700","0.9800",184,175,9,54979,54780,199,34,34,0,,,1542,2835,"0.2671","0.0045","0.0278","0.0418","0.6604","0.9511","0.9964","1.0000","0.9928","0.3523","""2026-05-07T07:56:26.000Z"""
"财经葛先生","7636004712357284642","5月咋提前布局？","""2026-05-04T11:58:30.000Z""","""2026-05-04T13:07:12.000Z""",68,1055,869,677,674,3,19,392,390,2,15,"33.00",30026,7785,4501,3284,58,7,8,"6.7300","8.2800","1.2300",422,400,22,118085,116735,1350,47,45,2,,,1574,2927,"0.2593","0.0075","0.0542","0.0504","0.5782","0.9479","0.9886","0.9574","0.9949","0.3497","""2026-05-07T07:57:03.000Z"""
